metabolite_name	rt	mz
Broad_HP_mz641.2601_rt1.96	1.96	641.260058999999
Broad_HP_mz768.5407_rt1.97	1.97	768.540732499999
Broad_HP_mz206.1901_rt1.98	1.98	206.190098699999
Broad_HP_mz282.279_rt1.98	1.98	282.2789526
Broad_HP_mz308.2793_rt1.99	1.99	308.279303099999
Broad_HP_mz538.4674_rt2	2	538.4674416
Broad_HP_mz350.3262_rt1.96	1.96	350.3261905
Broad_HP_mz354.3361_rt1.99	1.99	354.336141
Broad_HP_mz399.3941_rt1.98	1.98	399.3940979
Broad_HP_mz404.2923_rt1.99	1.99	404.2922841
Broad_HP_mz408.368_rt1.99	1.99	408.3679904
Broad_HP_mz606.4936_rt2	2	606.4936348
Broad_HP_mz268.2633_rt2.01	2.00999999999999	268.2633321
Broad_HP_mz270.279_rt2	2	270.278974399999
Broad_HP_mz368.3156_rt2	2	368.3155739
Broad_HP_mz434.3837_rt2.01	2.00999999999999	434.383695699999
Broad_HP_mz465.3795_rt2.01	2.00999999999999	465.3795162
Broad_HP_mz466.4099_rt2.01	2.00999999999999	466.4098844
Broad_HP_mz249.2058_rt2.02	2.02	249.205764499999
Broad_HP_mz256.2633_rt2.01	2.00999999999999	256.263282399999
Broad_HP_mz336.3113_rt2.01	2.00999999999999	336.3112686
Broad_HP_mz374.3028_rt1.99	1.99	374.3027751
Broad_HP_mz537.5351_rt2.02	2.02	537.5351392
Broad_HP_mz228.232_rt2.03	2.02999999999999	228.2319544
Broad_HP_mz305.2684_rt2.02	2.02	305.2684161
Broad_HP_mz322.2949_rt2.02	2.02	322.294923499999
Broad_HP_mz402.2768_rt2.04	2.04	402.2768279
Broad_HP_mz414.321_rt2.02	2.02	414.3210214
Broad_HP_mz462.415_rt2.03	2.02999999999999	462.4150348
Broad_HP_mz464.4304_rt2.03	2.02999999999999	464.4304277
Broad_HP_mz519.4881_rt2.03	2.02999999999999	519.488107399999
Broad_HP_mz524.4518_rt2.03	2.02999999999999	524.451823399999
Broad_HP_mz183.1014_rt2.04	2.04	183.1013701
Broad_HP_mz278.2477_rt2.04	2.04	278.247684699999
Broad_HP_mz279.2316_rt2.03	2.02999999999999	279.2316233
Broad_HP_mz280.2633_rt2.04	2.04	280.2633217
Broad_HP_mz291.2164_rt2.04	2.04	291.216362699999
Broad_HP_mz307.263_rt2.03	2.02999999999999	307.2629531
Broad_HP_mz308.2946_rt2.03	2.02999999999999	308.2946173
Broad_HP_mz319.2993_rt2.03	2.02999999999999	319.299327199999
Broad_HP_mz335.279_rt2.04	2.04	335.2790319
Broad_HP_mz350.3052_rt2.04	2.04	350.305160399999
Broad_HP_mz357.311_rt2.05	2.04999999999999	357.311000799999
Broad_HP_mz377.3258_rt2.02	2.02	377.325781099999
Broad_HP_mz380.3368_rt2.03	2.02999999999999	380.3367791
Broad_HP_mz406.3078_rt2.03	2.02999999999999	406.307787599999
Broad_HP_mz698.5773_rt2.04	2.04	698.5772841
Broad_HP_mz183.1377_rt2.04	2.04	183.137735099999
Broad_HP_mz225.1959_rt2.02	2.02	225.1959315
Broad_HP_mz239.2116_rt2.04	2.04	239.2116209
Broad_HP_mz256.2269_rt2.04	2.04	256.2269375
Broad_HP_mz277.2007_rt2.04	2.04	277.200740999999
Broad_HP_mz279.0931_rt2.04	2.04	279.09314
Broad_HP_mz279.18_rt2.09	2.09	279.180034999999
Broad_HP_mz292.227_rt2.04	2.04	292.2269883
Broad_HP_mz293.1957_rt2.04	2.04	293.195734
Broad_HP_mz296.2582_rt2.04	2.04	296.258233899999
Broad_HP_mz315.1337_rt2.04	2.04	315.13373
Broad_HP_mz372.2743_rt2.04	2.04	372.2742506
Broad_HP_mz421.3519_rt2.04	2.04	421.3518758
Broad_HP_mz452.3941_rt2.03	2.02999999999999	452.3941214
Broad_HP_mz482.3685_rt2.04	2.04	482.3684698
Broad_HP_mz494.4048_rt2.04	2.04	494.404840999999
Broad_HP_mz510.4001_rt2.05	2.04999999999999	510.400137099999
Broad_HP_mz510.4361_rt2.04	2.04	510.436108699999
Broad_HP_mz512.379_rt2.04	2.04	512.3789828
Broad_HP_mz519.4051_rt2.04	2.04	519.405072499999
Broad_HP_mz519.9067_rt2.04	2.04	519.9067429
Broad_HP_mz538.4311_rt2.04	2.04	538.431126299999
Broad_HP_mz568.4778_rt2.04	2.04	568.4777973
Broad_HP_mz635.4893_rt2.04	2.04	635.489336299999
Broad_HP_mz672.5252_rt2.04	2.04	672.5252418
Broad_HP_mz728.5879_rt2.04	2.04	728.5878972
Broad_HP_mz730.567_rt2.04	2.04	730.567027299999
Broad_HP_mz189.0479_rt2.05	2.04999999999999	189.0478979
Broad_HP_mz198.1851_rt2.03	2.02999999999999	198.1850818
Broad_HP_mz214.18_rt2.05	2.04999999999999	214.179959
Broad_HP_mz228.1956_rt2.05	2.04999999999999	228.195601
Broad_HP_mz229.1796_rt2.05	2.04999999999999	229.1796075
Broad_HP_mz240.1956_rt2.04	2.04	240.1956183
Broad_HP_mz263.1852_rt2.04	2.04	263.1851596
Broad_HP_mz277.1731_rt2.04	2.04	277.173136399999
Broad_HP_mz279.2165_rt2.11	2.11	279.2164745
Broad_HP_mz316.2845_rt2.05	2.04999999999999	316.284455799999
Broad_HP_mz324.2167_rt2.05	2.04999999999999	324.2166813
Broad_HP_mz328.248_rt2.06	2.06	328.2479897
Broad_HP_mz396.2954_rt2.04	2.04	396.2953539
Broad_HP_mz398.3109_rt2.04	2.04	398.310852
Broad_HP_mz482.4048_rt2.05	2.04999999999999	482.4048265
Broad_HP_mz484.3842_rt2.06	2.06	484.3841651
Broad_HP_mz488.3579_rt2.01	2.00999999999999	488.357882599999
Broad_HP_mz500.3792_rt2.14	2.14	500.379157099999
Broad_HP_mz532.3842_rt2.04	2.04	532.384187999999
Broad_HP_mz550.4677_rt2.04	2.04	550.467669
Broad_HP_mz638.5198_rt2.04	2.04	638.519842599999
Broad_HP_mz642.5143_rt2.04	2.04	642.5142654
Broad_HP_mz670.5461_rt2.04	2.04	670.546085199999
Broad_HP_mz788.5433_rt2.05	2.04999999999999	788.543302599999
Broad_HP_mz216.1956_rt2.06	2.06	216.195611899999
Broad_HP_mz337.2735_rt2.07	2.06999999999999	337.273498899999
Broad_HP_mz339.2891_rt2.07	2.06999999999999	339.289086199999
Broad_HP_mz502.3736_rt2.04	2.04	502.373638799999
Broad_HP_mz570.4211_rt2.04	2.04	570.421146
Broad_HP_mz790.559_rt2.05	2.04999999999999	790.559048999999
Broad_HP_mz792.5748_rt2.05	2.04999999999999	792.5748221
Broad_HP_mz207.1589_rt2.18	2.18	207.1589051
Broad_HP_mz285.2536_rt2.21	2.21	285.253628699999
Broad_HP_mz326.2536_rt2.18	2.18	326.253581199999
Broad_HP_mz442.3372_rt2.19	2.19	442.3372009
Broad_HP_mz766.5589_rt2.07	2.06999999999999	766.5588612
Broad_HP_mz221.1534_rt2.11	2.11	221.153446
Broad_HP_mz292.2059_rt2.12	2.12	292.205894399999
Broad_HP_mz167.1429_rt2.2	2.2	167.142919799999
Broad_HP_mz265.1644_rt2.15	2.15	265.164433799999
Broad_HP_mz312.2015_rt2.14	2.14	312.2015296
Broad_HP_mz323.2427_rt2.1	2.1	323.2426735
Broad_HP_mz131.1065_rt2.14	2.14	131.1065321
Broad_HP_mz157.1222_rt2.11	2.11	157.1222018
Broad_HP_mz268.1754_rt2.09	2.09	268.175362699999
Broad_HP_mz265.2008_rt2.19	2.19	265.2008369
Broad_HP_mz499.0565_rt2.08	2.08	499.056546299999
Broad_HP_mz607.0602_rt2.11	2.11	607.060183499999
Broad_HP_mz656.0695_rt2.12	2.12	656.069500299999
Broad_HP_mz719.0578_rt2.15	2.15	719.057819999999
Broad_HP_mz309.227_rt2.21	2.21	309.227028299999
Broad_HP_mz231.0723_rt2.11	2.11	231.072258799999
Broad_HP_mz233.1382_rt2.21	2.21	233.138222899999
Broad_HP_mz151.1117_rt2.19	2.19	151.1116576
Broad_HP_mz165.0909_rt2.21	2.21	165.090893499999
Broad_HP_mz231.1491_rt2.3	2.29999999999999	231.1490544
Broad_HP_mz251.1488_rt2.21	2.21	251.1487626
Broad_HP_mz307.2113_rt2.21	2.21	307.2113135
Broad_HP_mz181.1221_rt2.18	2.18	181.1221422
